gcr.io/tekton-releases/github.com/tektoncd/triggers/cmd/interceptors:v0.22.1@sha256:eda7af449fb82b06e952da0f5c0d1c2a3eddbab041e43065d37f67523c60c494,knativecn/gcr.io.tekton-releases.github.com.tektoncd.triggers.cmd.interceptors,v0.22.1,@sha256:aa905629725aee79c0c74bacdc4adbea0e23625c406d135f0854bc79605d12d9
gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:ccfa0604ac462ee5d3462f4d2eccbd030f9760c203861e8a5cbbab0651cc6211,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.queue,,@sha256:033f9aca41526039322e77c68e5032b4fb3f8bd074ff07fb78396531d22e4631
gcr.io/knative-releases/knative.dev/serving/cmd/activator@sha256:f9ed20f316f33d529d72e9002b940bb6d2d8daa76361623787f4b87526196c9f,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.activator,,@sha256:ff37ebc74c3492e3fcb5b661737ef7112336a1c4cc2cf21dd0b9f0213b540a64
gcr.io/knative-releases/knative.dev/serving/cmd/autoscaler@sha256:6699846e900830294e4ec4cc2c2b000a1c5fa5fe3e8846624ead01cdf0e4a8d3,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.autoscaler,,@sha256:08eeaf7d5bd8d3ab0b626fd252534601f2cd93cf9936c90ea2b31c0d6dd38674
gcr.io/knative-releases/knative.dev/serving/cmd/controller@sha256:8fc3dac5d9e9c788bd250d49f411e419d3655e427e15b6a0b73a03935132f738,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.controller,,@sha256:0f214ce95c927d94ab5f4ae737ea482c9e057e14e5496ed38b35ba8279dcb2da
gcr.io/knative-releases/knative.dev/serving/cmd/domain-mapping@sha256:98ee56cb1815e90d9985616a664ce133679c790120c3b8a3e04a7488486727d1,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.domain-mapping,,@sha256:114d1a9a254534880b41810f26d65ef3befad522343375eca678e882a8d62e77
gcr.io/knative-releases/knative.dev/serving/cmd/domain-mapping-webhook@sha256:26cb5fdb9a5fe575919869331172e2b73de01084c043191748fbd45ba443abc2,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.domain-mapping-webhook,,@sha256:f47b84ee4545e43f7dd5574848481e3044dab2c77c3d39ef097d135588341836
gcr.io/knative-releases/knative.dev/serving/cmd/webhook@sha256:67f619672751867e70f60321be906cec40a77d0d849cc2354fbc4415c01c3442,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.webhook,,@sha256:e79e89dccd1d77c043a7e5ecfab978744e7f8e793035242d34b692a8760dbe35
gcr.io/knative-releases/knative.dev/eventing/cmd/controller@sha256:79e3ef5d8db1fa84abcf4c41690619b93ed2601cc23127342b939f9deaeabfb1,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.controller,,@sha256:3fe10a90f9b13695b06c8f659d9204850274000a85f6d310d646303fe4f3b9d1
gcr.io/knative-releases/knative.dev/eventing/cmd/apiserver_receive_adapter@sha256:26a20c0b8894bc6d84266f245e1a4effa2ce61e88d8cd00edb8f94e140b988ba,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.apiserver_receive_adapter,,@sha256:2467dcccb325e2834ddccab9c7004fa0feaf880100fdcc99fdf88cf7b811ef7b
gcr.io/knative-releases/knative.dev/eventing/cmd/mtping@sha256:3952b0c3dc5cd9b244a008c65c71b7d444cda2198f96ea69395b8b73af37962a,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.mtping,,@sha256:da277847256a4af8a246c8e4bcd71020ca344890ae3ac33e685f8edff53971df
gcr.io/knative-releases/knative.dev/eventing/cmd/webhook@sha256:bb5f7b99cb9a3e916057dc35d26d43c9394558edc9a461ca23da5c548a0a6934,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.webhook,,@sha256:54cb3c2a2609e3e724b3b38a074c64b8b9160d360d70ad79d7039ba5d311febd
gcr.io/knative-releases/knative.dev/eventing/cmd/in_memory/channel_controller@sha256:3d74a020ea31a4574159bcac636846425e21fac918be52cd9d5568f9309f5338,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.in_memory.channel_controller,,@sha256:cb7bf7eb4d71c48293860fbfb3d8af48a4aa707c8f4fa8bdcbae01ef30669720
gcr.io/knative-releases/knative.dev/eventing/cmd/in_memory/channel_dispatcher@sha256:ae5b96a7d1fb2bbe952cdad153114a6d763a6eab5ed1c8da024bd6a79d11e132,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.in_memory.channel_dispatcher,,@sha256:52aa20538383cd37a9e70caa402cd143efdabdf1bc6f81e28eaaa5c15a0c0578
gcr.io/knative-releases/knative.dev/eventing/cmd/broker/filter@sha256:8a1dbd73f4af619c702396e298e14dcce5a3b7120f2c5412c68b23b25882fcfb,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.broker.filter,,@sha256:5003a3a57bccdad4ae39cc777236b1a1752ee44efb7eb0298cde7bbabe823859
gcr.io/knative-releases/knative.dev/eventing/cmd/broker/ingress@sha256:7de3a600a3aa5aa250821147cd15ae6421fa280f52dec7f513aec53c18352786,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.broker.ingress,,@sha256:1de8b40d85bae2f50f28abeec1db26f5ab28abd77d0473414db54d34aad08bd7
gcr.io/knative-releases/knative.dev/eventing/cmd/mtchannel_broker@sha256:fd07b16bc478ca9d2ad65897580a7478cb44d7c0efdaa150cc8519aee8a0cac3,knativecn/gcr.io.knative-releases.knative.dev.eventing.cmd.mtchannel_broker,,@sha256:0c2a25f1d3345d0b510835367d427e3acf5e7263c947bdb8c2b0f5b0a9d5a163
gcr.io/tekton-releases/github.com/tektoncd/dashboard/cmd/dashboard:v0.32.0@sha256:f11d6bdd2a1f2bb1e6366e416741ce1754a7695837305c054a0167f3f7b055ca,knativecn/gcr.io.tekton-releases.github.com.tektoncd.dashboard.cmd.dashboard,v0.32.0,@sha256:39e301ef5d1215cbe7b1822b2afe5095c406b81aaa4e63e6bf23120840f4cd25
gcr.io/knative-releases/knative.dev/net-kourier/cmd/kourier@sha256:fdfe66a66cb6501b1b242ce747aac37da578e28b3b8fa80efb326f1649555469,knativecn/gcr.io.knative-releases.knative.dev.net-kourier.cmd.kourier,,@sha256:16b4ffae6a4d0bafa1e0dcfeb80212e413abe9ce9f098af514b8fcc505798bee
